Time,Temperature,Humidity
2020-10-02 20:27:18,22.37,65.24
2020-10-02 20:17:18,22.39,65.62
2020-10-02 20:07:18,22.41,65.50
2020-10-02 19:57:18,22.42,65.39
2020-10-02 19:47:18,22.43,65.28
2020-10-02 19:37:18,22.44,65.16
2020-10-02 19:27:18,22.45,65.05
2020-10-02 19:17:18,22.46,64.94
2020-10-02 19:07:18,22.47,64.82
2020-10-02 18:57:18,22.48,64.71
2020-10-02 18:47:18,22.49,64.60
2020-10-02 18:37:18,22.51,64.78
2020-10-02 18:27:18,22.54,64.51
2020-10-02 18:17:18,22.56,64.25
2020-10-02 18:07:18,22.58,63.98
2020-10-02 17:57:18,22.60,63.72
2020-10-02 17:47:18,22.63,63.45
2020-10-02 17:37:18,22.65,63.19
2020-10-02 17:27:18,22.67,62.92
2020-10-02 17:17:18,22.69,62.66
2020-10-02 17:07:18,22.71,62.40
2020-10-02 16:57:18,22.70,61.97
2020-10-02 16:47:18,22.71,62.15
2020-10-02 16:37:18,22.72,62.33
2020-10-02 16:27:18,22.73,62.51
2020-10-02 16:17:18,22.74,62.69
2020-10-02 16:07:18,22.75,62.86
2020-10-02 15:57:18,22.76,63.04
2020-10-02 15:47:18,22.77,63.22
2020-10-02 15:37:18,22.78,63.40
2020-10-02 15:27:18,22.78,63.57
2020-10-02 15:17:18,22.80,61.78
2020-10-02 15:07:18,22.84,61.72
2020-10-02 14:57:18,22.87,61.67
2020-10-02 14:47:18,22.90,61.62
2020-10-02 14:37:18,22.94,61.57
2020-10-02 14:27:18,22.97,61.51
2020-10-02 14:17:18,23.00,61.46
2020-10-02 14:07:18,23.04,61.41
2020-10-02 13:57:18,23.07,61.36
2020-10-02 13:47:18,23.10,61.31
2020-10-02 13:37:18,23.12,61.13
2020-10-02 13:27:18,23.15,61.02
2020-10-02 13:17:18,23.18,60.92
2020-10-02 13:07:18,23.21,60.82
2020-10-02 12:57:18,23.24,60.72
2020-10-02 12:47:18,23.27,60.61
2020-10-02 12:37:18,23.30,60.51
2020-10-02 12:27:18,23.33,60.41
2020-10-02 12:17:18,23.36,60.31
2020-10-02 12:07:18,23.39,60.21
2020-10-02 11:57:18,23.48,60.22
2020-10-02 11:47:18,23.47,60.26
2020-10-02 11:37:18,23.46,60.30
2020-10-02 11:27:18,23.45,60.34
2020-10-02 11:17:18,23.44,60.38
2020-10-02 11:07:18,23.43,60.42
2020-10-02 10:57:18,23.42,60.46
2020-10-02 10:47:18,23.41,60.50
2020-10-02 10:37:18,23.40,60.54
2020-10-02 10:27:18,23.40,60.58
2020-10-02 10:17:18,23.40,60.42
2020-10-02 10:07:18,23.41,60.60
2020-10-02 09:57:18,23.42,60.78
2020-10-02 09:47:18,23.43,60.95
2020-10-02 09:37:18,23.44,61.13
